timestamp,Above 3.8%,Above 3.9%,Above 4.0%,Above 4.1%,Above 4.2%,Above 4.3%,Above 4.4%,Above 4.5%,Above 4.6%,Above 4.7%
2026-01-10T00:00:00Z,99.00,,,,,75.00,45.62,20.00,,4.00
2026-01-11T00:00:00Z,95.00,97.50,,94.00,,69.94,47.26,21.48,6.00,4.00
2026-01-12T00:00:00Z,95.00,97.50,96.00,93.00,89.58,73.68,48.75,17.89,6.00,3.00
2026-01-13T00:00:00Z,95.00,97.00,96.00,93.00,92.38,75.80,48.38,17.03,6.00,3.00
2026-01-14T00:00:00Z,95.00,97.00,96.00,93.00,92.01,76.77,46.15,23.40,5.38,3.00
2026-01-15T00:00:00Z,95.00,97.00,96.00,93.00,91.91,76.57,43.48,17.49,5.57,3.22
2026-01-16T00:00:00Z,95.00,97.00,96.00,93.00,92.11,77.29,43.85,17.83,5.24,4.00
2026-01-17T00:00:00Z,95.00,97.00,96.00,93.00,92.26,75.67,51.38,18.81,5.24,4.00
2026-01-18T00:00:00Z,97.00,97.00,96.00,96.00,92.00,72.19,50.86,17.95,4.88,4.00
2026-01-19T00:00:00Z,97.00,97.00,96.00,96.00,92.00,77.26,46.57,19.25,4.95,4.00
2026-01-20T00:00:00Z,97.00,97.00,96.00,96.00,95.00,78.00,50.85,20.75,8.00,4.00
2026-01-21T00:00:00Z,97.00,97.00,96.00,96.00,91.45,77.41,49.96,24.04,7.71,5.00
2026-01-22T00:00:00Z,97.00,97.00,96.00,96.00,92.66,75.90,50.39,21.82,7.71,5.90
2026-01-23T00:00:00Z,97.00,97.00,96.00,96.00,90.89,75.70,46.80,21.91,7.67,5.80
2026-01-24T00:00:00Z,97.00,97.00,96.00,96.00,90.29,74.95,44.99,20.96,8.00,4.00
2026-01-25T00:00:00Z,97.00,97.00,96.00,96.00,90.54,74.95,46.24,20.66,5.12,5.00
2026-01-26T00:00:00Z,97.00,97.00,96.00,96.00,90.92,73.23,41.41,19.37,6.00,5.00
2026-01-27T00:00:00Z,97.00,97.00,96.00,96.00,91.00,76.32,43.66,20.18,5.57,5.00
2026-01-28T00:00:00Z,97.00,97.00,96.00,96.00,90.99,76.32,44.36,19.41,7.39,1.00
2026-01-29T00:00:00Z,97.00,97.00,96.00,96.00,91.02,76.97,42.46,17.60,2.24,1.00
2026-01-30T00:00:00Z,97.00,97.00,96.00,96.00,92.05,76.03,43.61,21.04,5.61,1.00
