asof_timestamp,ticker,strike,yes_bid,yes_ask,mid,last_price,yes_price,volume
2026-02-07T15:16:48Z,KXU3-26JAN-T3.8,3.8,99.0,,,99,99.0,1343
2026-02-07T15:16:48Z,KXU3-26JAN-T3.9,3.9,97.0,,,97,97.0,1594
2026-02-07T15:16:48Z,KXU3-26JAN-T4.0,4.0,95.0,,,98,98.0,297
2026-02-07T15:16:48Z,KXU3-26JAN-T4.1,4.1,96.0,98.0,97.0,97,97.0,12036
2026-02-07T15:16:48Z,KXU3-26JAN-T4.2,4.2,93.0,94.0,93.5,93,93.5,116724
2026-02-07T15:16:48Z,KXU3-26JAN-T4.3,4.3,69.0,70.0,69.5,69,69.5,173427
2026-02-07T15:16:48Z,KXU3-26JAN-T4.4,4.4,38.0,39.0,38.5,38,38.5,130169
2026-02-07T15:16:48Z,KXU3-26JAN-T4.5,4.5,9.0,15.0,12.0,14,12.0,87984
2026-02-07T15:16:48Z,KXU3-26JAN-T4.6,4.6,3.0,5.0,4.0,5,4.0,34767
2026-02-07T15:16:48Z,KXU3-26JAN-T4.7,4.7,,4.0,,4,4.0,10672
